"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C5,C4,C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"10uF";;;
2;"SW5,SW6,SW7,SW4,SW2,SW3,SW1,SW8";"SW_Push_1P1T_NO_CK_KSC6xxJ";8;"SW_Push";;;
3;"R8,R7,R5,R1,R2,R11,R6,R12,R9,R10,R3,EN_Pull-up1,R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";13;"10K";;;
4;"Q1,Q2";"SOT-23";2;"ASS8050-L-HF";;;
5;"J_EN1,J_IO_1";"PinHeader_1x01_P1.27mm_Vertical";2;"Conn_01x01_Male";;;
6;"START1";"SW_Push_1P1T_NO_CK_KSC6xxJ";1;"START";;;
7;"R_LED1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"R_LED";;;
8;"Volume2";"Potentiometer_Alps_RK09K_Single_Horizontal";1;"R_Buzzer2";;;
9;"BZ2";"Buzzer_12x9.5RM7.6";1;"Buzzer2";;;
10;"U2";"128x64 2.42 inch OLED display";1;"128x64_2.42"_OLED";;;
11;"R13,R14";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"5.1K";;;
12;"SELECT1";"SW_Push_1P1T_NO_CK_KSC6xxJ";1;"SELECT";;;
13;"Volume1";"Potentiometer_Alps_RK09K_Single_Horizontal";1;"R_Buzzer1";;;
14;"BZ1";"Buzzer_12x9.5RM7.6";1;"Buzzer1";;;
15;"J_UART1";"PinHeader_1x06_P1.27mm_Vertical";1;"Conn_01x06_Male";;;
16;"D_3V3";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"PWR";;;
17;"U4,U3";"SOT-223-3_TabPin2";2;"AZ1117-3.3";;;
18;"C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"22uF";;;
19;"C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"0.1uF";;;
20;"SW_PWR1";"Slide-SW-GF-1123-1110";1;"SW_SPST";;;
21;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0";;;
22;"BT1";"3xAA holder (534-2464)";1;"Battery_pack";;;
23;"U1";"XCVR_ESP32-S2-WROOM-I";1;"ESP32-S2-WROOM-I";;;
